model,revision,runtime,env,profile,quantization,fit,max_model_len,tok_s,ttft_ms,mm_preprocess_ms,std_bench,task_score,tok_per_j,date,notes
# 例: 1行=1(モデル×環境×条件)。fit=yes/no/oom。std_bench/task_scoreは用途スコア。research §12.10 参照。
llm-jp-4-8b-instruct,7ae4da12cee2f109509cb8e1d01cf8a0f1a5fbc1,ollama,mac,summarize,q4_k_m,yes,65536,48.7303,185.477,,1,1,,2026-07-02,hold; stop=<|end|>; bench=llm-jp-eval-smoke-ja-qa-public-v1; task=summary-tags-schema-public-v1; ollama_id=d5bf362b9fd8
gemma4-26b-a4b,,ollama,mac,vlm,q4_k_m,yes,128000,59.3692,389.411,,,1,,2026-07-02,hold; phase0 mac vlm public-image-task-set-8; pass=8/8; sources=wikimedia-commons-public-domain-or-cc0; reasoning_tokens_included; nonstream_reasoning_included; raw=2026-07-02-phase0-mac-gemma4-26b-a4b-vlm-task-set-results.json
mlx-community/gemma-3-4b-it-4bit,,mlx-vlm,mac,vlm,4bit,yes,,88.794,,,,1,,2026-07-02,hold; phase0 mac mlx-vlm stop-sign-smoke; prompt_tok_s=200.810; peak_memory_gb=5.401; output_pass; gemma-4-e4b-it-4bit-load_error; raw=2026-07-02-phase0-mac-mlx-vlm-gemma-3-4b-it-4bit-stop-sign-summary.json
gemma4-26b-a4b,,ollama,mac,vlm-screenshot,q4_k_m,yes,128000,62.4738,1681.963,,,0.98,,2026-07-02,hold; synthetic screenshot task set v1; pass=10/10; task=vlm-screenshot-task-set-v1; svg_rasterized_to_png; raw=2026-07-02-vlm-screenshot-gemma4-baseline.json
llm-jp-4-8b-instruct,7ae4da12cee2f109509cb8e1d01cf8a0f1a5fbc1,ollama,mac,summarize,q4_k_m,yes,65536,48.7303,185.477,,0.959786,1,,2026-07-03,adopt; stop=<|end|>; bench=llm-jp-eval-jcommonsenseqa-full-v2.1.5; task=summary-tags-public-v1; judge=deterministic-marker-rubric-v1; pass=3/3; ollama_id=d5bf362b9fd8; raw=2026-07-03-llm-jp-4-8b-instruct-summary-tags-public-v1.json
lfm2.5-1.2b-jp-202606,8c74801fdfe71394c59d3f519b86de305ff49f00,ollama,mac,summarize,q4_k_m,yes,32768,225.426,57.7791,,0.743521,0.484444,,2026-07-03,reject; bench=llm-jp-eval-jcommonsenseqa-full-v2.1.5; task=summary-tags-public-v1; judge=deterministic-marker-rubric-v1; pass=0/3; ollama_id=cb967c9bd843; raw=2026-07-03-lfm2.5-1.2b-jp-202606-onboarding-final-row.json
qwen3-coder-30b-a3b,b2cff646eb4bb1d68355c01b18ae02e7cf42d120,ollama,mac,coding,q4_k_m,yes,262144,78.0234,111.398,,0.913315,0.96875,,2026-07-03,hold; bench=llm-jp-eval-jcommonsenseqa-full-v2.1.5; task=coding-agent-public-v1; judge=deterministic-json-files-pytest-rubric-v1; pass=1/2; ollama_id=06c1097efce0; raw=qwen3-coder-30b-a3b-coding-agent-public-v1.json
devstral-small-2,c599e8e56f3f9110e97f0dc0450ce248e3334d84,ollama,mac,coding,q4_k_m,yes,131072,16.1549,208.567,,0.947274,1,,2026-07-03,adopt; bench=llm-jp-eval-jcommonsenseqa-full-v2.1.5; task=coding-agent-public-v1; judge=deterministic-json-files-pytest-rubric-v1; pass=2/2; ollama_id=24277f07f62d; raw=devstral-small-2-coding-agent-public-v1.json
qwen3-8b,,ollama,mac,summarize,q4_k_m,yes,40960,46.3565,163.1,,0,0,,2026-07-03,reject; bench=llm-jp-eval-jcommonsenseqa-full-v2.1.5; task=summary-tags-public-v1; judge=deterministic-marker-rubric-v1; pass=0/3; openai_compat_content_empty; ollama_id=500a1f067a9f; raw=2026-07-03-qwen3-8b-onboarding-fit-speed-task.json
qwen2.5-vl-7b,cc594898137f460bfe9f0759e9844b3ce807cfb5,mlx-vlm,mac,vlm-screenshot,4bit,yes,128000,57.009,,,,0.72,,2026-07-03,hold; bench=not-run-mlx-vlm-standard-bench-missing; task=vlm-screenshot-task-set-v1; pass=6/10; prompt_tok_s=340.958; peak_memory_gb=6.497; mlx_repo=mlx-community/Qwen2.5-VL-7B-Instruct-4bit; mlx_revision=fdcc572e8b05ba9daeaf71be8c9e4267c826ff9b; raw=results/raw/qwen25-vl-7b/2026-07-03-qwen25-vl-screenshot-scores.json
gemma4-12b,5926caa4ec0cac5cbfadaf4077420520de1d5205,ollama,mac,vlm-screenshot,q4_k_m,yes,128000,28.952,1745.514,,0,0.98,,2026-07-03,hold; bench=llm-jp-eval-jcommonsenseqa-full-v2.1.5; openai_compat_content_empty=1119/1119; task=vlm-screenshot-task-set-v1; pass=10/10; ollama_id=4eb23ef187e2; raw=results/raw/gemma4-12b/2026-07-03-gemma4-12b-ollama-screenshot-scores.json
gemma4-12b,5926caa4ec0cac5cbfadaf4077420520de1d5205,mlx-vlm,mac,vlm-screenshot,4bit,yes,128000,33.105,,,,0.87,,2026-07-03,hold; bench=not-run-mlx-vlm-standard-bench-missing; task=vlm-screenshot-task-set-v1; pass=9/10; prompt_tok_s=237.824; peak_memory_gb=7.518; mlx_repo=mlx-community/gemma-4-12b-it-4bit; mlx_revision=73bcf09092aa277861d5a191b989b666f7f32e8f; raw=results/raw/gemma4-12b/2026-07-03-gemma4-12b-mlx-vlm-screenshot-scores.json
